ID,cms_name,version_range,patch_commit_parent_id,patch_commit_id,cms_url,sink_file,version_header,version_header_sha
15,Dolibarr?,8.0.2,0f06e39d23636bd1e4039ac61a743c79725c798b,fc3fcc5455d9a610b85723e89e8be43a41ad1378,https://github.com/Dolibarr/dolibarr/,,8.0.2,85180b1
16,Dolibarr ERP/CRM,< 5.0.3?,d03d179fa31baa67c32709e5f2d3eadc3906e309,70636cc59ffa1ffbc0ce3dba315d7d9b837aad04,https://github.com/Dolibarr/dolibarr,,8.0.2,85180b1
17,Dolibarr ERP/CRM,7.0.3?,d9fc1e0b5dacae0a2b4ad6cd986411e9c741d22d,36402c22eef49d60edd73a2f312f8e28fe0bd1cb,https://github.com/Dolibarr/dolibarr,,4.0.0,8a5bafc
17,Dolibarr ERP/CRM,7.0.3?,d9fc1e0b5dacae0a2b4ad6cd986411e9c741d22d,36402c22eef49d60edd73a2f312f8e28fe0bd1cb,https://github.com/Dolibarr/dolibarr,,5.0.0,eb1a940
17,Dolibarr ERP/CRM,7.0.3?,d9fc1e0b5dacae0a2b4ad6cd986411e9c741d22d,36402c22eef49d60edd73a2f312f8e28fe0bd1cb,https://github.com/Dolibarr/dolibarr,,5.0.2,880e2d0
18,Elefant CMS,2.0.3,d4cfbab9b9fda695c14933ad636f00d2e821dc58,afb3346e50b992bcba143660ca2149e563430e05,https://github.com/jbroadway/elefant,,2.0.3,Not Found!
19,Elefant CMS,< 2.0.7,5f9e2b263ccf94dc45f55106c82748c0b1ad9364,49ba8cc24e9f009ce30d2c2eb9eefeb9be4ce1d0,https://github.com/jbroadway/elefant,,2.0.6,Not Found!
20,Elefant CMS?,< 2.0.7,49ba8cc24e9f009ce30d2c2eb9eefeb9be4ce1d0,0795ab57c7ffa53ff4af57e229f6d9680fa54a21,https://github.com/jbroadway/elefant,,2.0.6,Not Found!
21,elFinder?,< 2.1.37,a526df660b2dc98155379abcef1ae33493315ff5,e6351557b86cc10a7651253d2d2aff7f6b918f8e,https://github.com/Studio-42/elFinder,,2.1.3,0b23083
21,elFinder?,< 2.1.37,a526df660b2dc98155379abcef1ae33493315ff5,e6351557b86cc10a7651253d2d2aff7f6b918f8e,https://github.com/Studio-42/elFinder,,2.1.0,ab48451
22,elFinder?,< 2.1.36,82b098ffb21851dae96b4b9452ba6bb52461f5ea,157f471d7e48f190f74e66eb5bc73360b5352fd3,https://github.com/Studio-42/elFinder,,2.1.3,0b23083
22,elFinder?,< 2.1.36,82b098ffb21851dae96b4b9452ba6bb52461f5ea,157f471d7e48f190f74e66eb5bc73360b5352fd3,https://github.com/Studio-42/elFinder,,2.1.0,ab48451
23,Exponent CMS,< 2.4.0,26cdc39b8e70c31a4727cbb60a10603f2fbdc500,e916702a91a6342bbab483a2be2ba2f11dca3aa3,https://github.com/exponentcms/exponent-cms,,v2.3.0,a86aee9
23,Exponent CMS,< 2.4.0,26cdc39b8e70c31a4727cbb60a10603f2fbdc500,e916702a91a6342bbab483a2be2ba2f11dca3aa3,https://github.com/exponentcms/exponent-cms,,v2.3.9,e4f3d51
24,Exponent CMS,2.3.9?,3f06b07755f35b96eff05ed3e3e1df2b907cade1,4ae457ff1bf80e8b61286cd125ca794b25564e86,https://github.com/exponentcms/exponent-cms,,v2.3.9,e4f3d51
25,flatCore?,1.4.7,e8acaf4e2dad3201e3a5435f96b0b8d5a040f9a4,8d87c51a51b0c7260a72e583a3f83ab375a6b638,https://github.com/flatCore/flatCore-CMS,,1.4.7,5bcb8a8
26,fusionpbx,4.4.3?,e43ca27ba2d9c0109a6bf198fe2f8d79f63e0611,0f965c89288de449236ad6de4f97960814ce8c84,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
27,fusionpbx,4.4.3?,8adcdff79b95287aef917b9313261a969a47e487,391a23d070f3036d0c7760992f6970b0a76ee4d7,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
28,FusionPBX,up to v4.5.7,83622c4ee1d9dd1913e9fb01ce8f060b46a5768a,284b0a91968f126fd6be0a486a84e065926905ca,https://github.com/fusionpbx/fusionpbx,,4.4.1,5a48f7e
